Date,Salesperson,Region,Product,Units_Sold,Unit_Price
2025-05-25 00:19:02.509541,Eva,West,Widget,19,171.84
2025-05-25 00:19:02.509541,Bob,South,Widget,17,211.86
2025-05-26 00:19:02.509541,Alice,North,Doohickey,32,403.73
2025-05-26 00:19:02.509541,David,North,Gadget,48,348.62
2025-05-27 00:19:02.509541,Charlie,North,Widget,11,450.0
2025-05-28 00:19:02.509541,Alice,South,Widget,43,23.65
2025-05-30 00:19:02.509541,Eva,West,Doohickey,2,306.76
2025-05-30 00:19:02.509541,Alice,North,Gadget,38,490.75
2025-05-30 00:19:02.509541,Charlie,North,Doohickey,39,248.76
2025-05-31 00:19:02.509541,David,South,Thingama,41,123.42
2025-05-31 00:19:02.509541,David,South,Widget,49,251.34
2025-05-31 00:19:02.509541,Alice,East,Thingama,9,489.78
2025-05-31 00:19:02.509541,Alice,East,Thingama,6,195.73
2025-06-01 00:19:02.509541,David,West,Gadget,25,285.47
2025-06-01 00:19:02.509541,Charlie,North,Gadget,38,355.52
2025-06-01 00:19:02.509541,David,South,Gadget,8,258.82
2025-06-01 00:19:02.509541,Alice,North,Gadget,35,471.15
2025-06-01 00:19:02.509541,Alice,West,Widget,43,34.62
2025-06-02 00:19:02.509541,Eva,East,Gadget,20,278.59
2025-06-02 00:19:02.509541,Bob,East,Gadget,44,122.39
2025-06-02 00:19:02.509541,Eva,West,Thingama,14,451.87
2025-06-02 00:19:02.509541,David,North,Thingama,1,341.92
2025-06-03 00:19:02.509541,David,West,Gadget,9,405.27
2025-06-03 00:19:02.509541,David,South,Gadget,3,415.16
2025-06-03 00:19:02.509541,Eva,North,Gadget,42,480.85
2025-06-04 00:19:02.509541,Alice,South,Doohickey,36,36.14
2025-06-04 00:19:02.509541,David,East,Doohickey,38,17.96
2025-06-05 00:19:02.509541,David,East,Doohickey,19,247.17
2025-06-05 00:19:02.509541,Eva,West,Gadget,45,192.53
2025-06-05 00:19:02.509541,David,East,Widget,42,412.28
2025-06-05 00:19:02.509541,Bob,West,Widget,11,52.64
2025-06-05 00:19:02.509541,Bob,South,Doohickey,47,283.1
2025-06-05 00:19:02.509541,David,West,Doohickey,29,42.84
2025-06-05 00:19:02.509541,Bob,South,Widget,25,426.78
2025-06-06 00:19:02.509541,Alice,East,Widget,41,319.37
2025-06-07 00:19:02.509541,David,North,Widget,4,467.54
2025-06-07 00:19:02.509541,Charlie,North,Widget,40,255.06
2025-06-07 00:19:02.509541,David,South,Thingama,4,61.62
2025-06-08 00:19:02.509541,Charlie,North,Doohickey,4,55.26
2025-06-08 00:19:02.509541,Bob,North,Thingama,36,301.18
2025-06-08 00:19:02.509541,Eva,East,Gadget,19,419.7
2025-06-09 00:19:02.509541,David,West,Gadget,47,291.24
2025-06-09 00:19:02.509541,Bob,North,Widget,9,24.93
2025-06-10 00:19:02.509541,David,North,Doohickey,18,117.85
2025-06-10 00:19:02.509541,Bob,South,Widget,37,110.18
2025-06-10 00:19:02.509541,David,East,Widget,25,225.21
2025-06-10 00:19:02.509541,Eva,East,Gadget,20,332.77
2025-06-11 00:19:02.509541,Charlie,East,Widget,8,193.98
2025-06-12 00:19:02.509541,Alice,South,Widget,40,308.75
2025-06-12 00:19:02.509541,David,South,Doohickey,1,485.86
2025-06-12 00:19:02.509541,Alice,West,Thingama,41,35.13
2025-06-13 00:19:02.509541,Charlie,North,Gadget,47,160.17
2025-06-13 00:19:02.509541,Alice,North,Doohickey,34,404.66
2025-06-13 00:19:02.509541,Alice,East,Gadget,16,485.26
2025-06-13 00:19:02.509541,Charlie,North,Widget,25,234.39
2025-06-13 00:19:02.509541,Charlie,West,Thingama,36,143.26
2025-06-14 00:19:02.509541,David,West,Thingama,22,37.77
2025-06-14 00:19:02.509541,Alice,South,Thingama,6,95.99
2025-06-14 00:19:02.509541,Bob,West,Gadget,2,67.43
2025-06-15 00:19:02.509541,Eva,South,Widget,20,337.2
2025-06-15 00:19:02.509541,Bob,North,Doohickey,32,61.64
2025-06-16 00:19:02.509541,Eva,North,Gadget,26,202.44
2025-06-17 00:19:02.509541,Charlie,West,Thingama,47,44.54
2025-06-17 00:19:02.509541,Alice,North,Gadget,34,81.75
2025-06-17 00:19:02.509541,Eva,West,Gadget,26,417.86
2025-06-17 00:19:02.509541,Eva,West,Gadget,35,341.99
2025-06-17 00:19:02.509541,Bob,South,Gadget,22,156.7
2025-06-17 00:19:02.509541,Charlie,East,Gadget,12,59.12
2025-06-18 00:19:02.509541,Charlie,North,Thingama,23,495.15
2025-06-18 00:19:02.509541,Eva,North,Gadget,34,377.49
2025-06-18 00:19:02.509541,Charlie,South,Thingama,23,231.13
2025-06-19 00:19:02.509541,Bob,South,Doohickey,27,258.46
2025-06-19 00:19:02.509541,David,East,Thingama,18,321.35
2025-06-19 00:19:02.509541,Bob,North,Thingama,31,77.2
2025-06-19 00:19:02.509541,Eva,East,Gadget,35,476.88
2025-06-19 00:19:02.509541,Bob,West,Gadget,23,19.37
2025-06-19 00:19:02.509541,Charlie,North,Gadget,1,178.26
2025-06-19 00:19:02.509541,David,East,Thingama,22,463.97
2025-06-20 00:19:02.509541,Bob,South,Doohickey,36,413.54
2025-06-20 00:19:02.509541,Charlie,East,Thingama,7,104.99
2025-06-20 00:19:02.509541,Alice,West,Doohickey,37,109.1
2025-06-20 00:19:02.509541,Bob,East,Thingama,48,489.39
2025-06-20 00:19:02.509541,Bob,South,Thingama,40,158.19
2025-06-20 00:19:02.509541,Alice,North,Widget,34,287.43
2025-06-20 00:19:02.509541,Alice,West,Thingama,13,332.93
2025-06-21 00:19:02.509541,Eva,East,Widget,31,335.47
2025-06-22 00:19:02.509541,Charlie,West,Doohickey,20,414.77
2025-06-22 00:19:02.509541,Charlie,North,Gadget,2,141.41
2025-06-23 00:19:02.509541,Charlie,South,Widget,34,101.01
2025-06-24 00:19:02.509541,Alice,South,Thingama,7,113.5
2025-06-24 00:19:02.509541,Charlie,East,Gadget,14,431.3
2025-06-24 00:19:02.509541,Charlie,South,Thingama,45,415.01
2025-06-24 00:19:02.509541,Eva,North,Thingama,21,25.9
2025-06-24 00:19:02.509541,Bob,South,Widget,25,406.42
2025-06-24 00:19:02.509541,Bob,South,Thingama,32,192.02
2025-06-25 00:19:02.509541,David,North,Gadget,8,384.58
2025-06-26 00:19:02.509541,Alice,East,Thingama,36,42.96
2025-06-26 00:19:02.509541,Charlie,South,Gadget,28,294.54
2025-06-27 00:19:02.509541,David,West,Doohickey,41,34.78
2025-06-27 00:19:02.509541,David,West,Widget,26,26.99
2025-06-28 00:19:02.509541,Alice,South,Thingama,26,175.23
2025-06-28 00:19:02.509541,Eva,North,Doohickey,5,54.04
2025-06-28 00:19:02.509541,Bob,North,Thingama,14,309.62
2025-06-28 00:19:02.509541,Bob,West,Doohickey,18,403.87
2025-06-29 00:19:02.509541,David,South,Doohickey,32,282.87
2025-06-29 00:19:02.509541,Bob,West,Doohickey,25,423.23
2025-06-29 00:19:02.509541,Bob,East,Widget,26,135.67
2025-06-29 00:19:02.509541,Alice,West,Thingama,20,203.68
2025-07-01 00:19:02.509541,David,South,Doohickey,11,130.22
2025-07-01 00:19:02.509541,Charlie,South,Gadget,29,204.95
2025-07-01 00:19:02.509541,Eva,North,Gadget,17,192.99
2025-07-02 00:19:02.509541,Alice,South,Thingama,44,495.26
2025-07-02 00:19:02.509541,Bob,North,Doohickey,13,327.68
2025-07-03 00:19:02.509541,Bob,North,Widget,28,154.09
2025-07-04 00:19:02.509541,Alice,West,Widget,10,302.46
2025-07-04 00:19:02.509541,David,East,Widget,45,496.06
2025-07-05 00:19:02.509541,Eva,West,Widget,41,48.68
2025-07-05 00:19:02.509541,Eva,West,Widget,48,76.38
2025-07-05 00:19:02.509541,Eva,South,Widget,41,464.29
2025-07-05 00:19:02.509541,Eva,West,Doohickey,44,280.8
2025-07-06 00:19:02.509541,Alice,West,Doohickey,3,302.08
2025-07-06 00:19:02.509541,Alice,East,Gadget,21,74.18
2025-07-08 00:19:02.509541,Bob,South,Gadget,40,423.66
2025-07-08 00:19:02.509541,Alice,North,Doohickey,33,296.38
2025-07-09 00:19:02.509541,Bob,South,Gadget,7,269.67
2025-07-10 00:19:02.509541,Alice,West,Doohickey,5,410.53
2025-07-11 00:19:02.509541,Bob,North,Widget,23,34.7
2025-07-11 00:19:02.509541,Alice,North,Doohickey,29,308.08
2025-07-11 00:19:02.509541,Alice,South,Gadget,7,17.05
2025-07-11 00:19:02.509541,Eva,East,Doohickey,23,22.63
2025-07-12 00:19:02.509541,Eva,East,Gadget,11,289.73
2025-07-12 00:19:02.509541,Alice,North,Gadget,1,482.05
2025-07-12 00:19:02.509541,Eva,West,Widget,26,293.17
2025-07-14 00:19:02.509541,Bob,South,Gadget,14,219.94
2025-07-14 00:19:02.509541,David,West,Widget,30,86.6
2025-07-14 00:19:02.509541,Eva,West,Doohickey,27,226.63
2025-07-16 00:19:02.509541,Charlie,East,Doohickey,38,411.18
2025-07-17 00:19:02.509541,Bob,East,Thingama,8,60.26
2025-07-17 00:19:02.509541,Bob,North,Gadget,45,220.18
2025-07-17 00:19:02.509541,Charlie,West,Doohickey,17,18.13
2025-07-17 00:19:02.509541,Bob,East,Gadget,13,293.62
2025-07-18 00:19:02.509541,Alice,North,Thingama,17,43.54
2025-07-19 00:19:02.509541,Bob,South,Thingama,43,378.67
2025-07-19 00:19:02.509541,Charlie,East,Doohickey,10,341.48
2025-07-20 00:19:02.509541,Charlie,West,Thingama,17,342.46
2025-07-21 00:19:02.509541,Bob,North,Thingama,40,341.94
2025-07-22 00:19:02.509541,Bob,East,Widget,30,484.35
2025-07-22 00:19:02.509541,Bob,North,Widget,31,117.17
2025-07-22 00:19:02.509541,Charlie,East,Thingama,22,347.65
2025-07-24 00:19:02.509541,Eva,South,Doohickey,14,232.63
2025-07-25 00:19:02.509541,Alice,West,Gadget,21,184.87
2025-07-25 00:19:02.509541,David,South,Widget,29,288.19
2025-07-26 00:19:02.509541,Alice,South,Gadget,46,334.3
2025-07-26 00:19:02.509541,Alice,West,Gadget,34,196.69
2025-07-26 00:19:02.509541,Bob,North,Widget,42,224.71
2025-07-26 00:19:02.509541,Charlie,South,Thingama,8,22.24
2025-07-27 00:19:02.509541,David,West,Widget,34,178.54
2025-07-28 00:19:02.509541,Alice,East,Doohickey,17,120.78
2025-07-28 00:19:02.509541,David,East,Gadget,15,445.86
2025-07-28 00:19:02.509541,Alice,West,Thingama,30,183.67
2025-07-28 00:19:02.509541,Eva,West,Thingama,32,382.05
2025-07-29 00:19:02.509541,Alice,North,Doohickey,2,88.73
2025-07-29 00:19:02.509541,Bob,North,Doohickey,18,193.61
2025-07-30 00:19:02.509541,Alice,East,Thingama,46,44.0
2025-07-30 00:19:02.509541,Alice,East,Widget,4,289.92
2025-07-31 00:19:02.509541,Alice,East,Widget,49,133.07
2025-07-31 00:19:02.509541,Charlie,North,Widget,37,311.41
2025-07-31 00:19:02.509541,Charlie,East,Gadget,37,290.58
2025-07-31 00:19:02.509541,Eva,South,Gadget,15,29.73
2025-07-31 00:19:02.509541,Bob,West,Widget,9,465.14
2025-08-01 00:19:02.509541,Eva,North,Widget,16,234.58
2025-08-01 00:19:02.509541,Charlie,North,Doohickey,1,314.03
2025-08-01 00:19:02.509541,Eva,West,Gadget,32,99.89
2025-08-01 00:19:02.509541,Eva,South,Widget,30,71.74
2025-08-01 00:19:02.509541,Charlie,West,Widget,32,287.23
2025-08-02 00:19:02.509541,Charlie,West,Doohickey,30,301.7
2025-08-02 00:19:02.509541,David,South,Gadget,24,327.83
2025-08-03 00:19:02.509541,Eva,West,Thingama,3,315.15
2025-08-03 00:19:02.509541,Charlie,East,Gadget,17,142.06
2025-08-03 00:19:02.509541,Bob,South,Widget,47,92.42
2025-08-04 00:19:02.509541,Charlie,North,Gadget,31,111.06
2025-08-04 00:19:02.509541,Bob,South,Widget,7,451.47
2025-08-04 00:19:02.509541,Charlie,South,Thingama,6,145.74
2025-08-04 00:19:02.509541,Bob,West,Thingama,33,29.77
2025-08-04 00:19:02.509541,Bob,West,Doohickey,41,226.97
2025-08-04 00:19:02.509541,Bob,East,Thingama,34,126.1
2025-08-04 00:19:02.509541,Bob,West,Widget,44,286.06
2025-08-04 00:19:02.509541,Charlie,North,Thingama,12,420.7
2025-08-04 00:19:02.509541,David,South,Thingama,1,282.95
2025-08-05 00:19:02.509541,Eva,West,Gadget,37,282.82
2025-08-05 00:19:02.509541,David,West,Thingama,44,10.32
2025-08-05 00:19:02.509541,Bob,East,Widget,27,318.82
2025-08-05 00:19:02.509541,Charlie,North,Widget,18,145.96
2025-08-06 00:19:02.509541,Bob,North,Thingama,20,302.49
2025-08-06 00:19:02.509541,David,West,Doohickey,9,305.54
2025-08-06 00:19:02.509541,Charlie,South,Widget,18,330.53
2025-08-06 00:19:02.509541,David,North,Thingama,4,286.07
2025-08-06 00:19:02.509541,Eva,East,Gadget,14,18.88
2025-08-08 00:19:02.509541,Eva,North,Gadget,15,190.54
2025-08-08 00:19:02.509541,Charlie,South,Gadget,1,315.76
2025-08-08 00:19:02.509541,David,East,Thingama,6,265.51
2025-08-08 00:19:02.509541,Charlie,West,Doohickey,2,305.73
2025-08-09 00:19:02.509541,David,South,Thingama,22,237.85
2025-08-09 00:19:02.509541,David,North,Thingama,18,315.63
2025-08-10 00:19:02.509541,David,North,Gadget,27,126.36
2025-08-10 00:19:02.509541,Bob,North,Gadget,45,440.87
2025-08-11 00:19:02.509541,Bob,West,Thingama,27,202.62
2025-08-11 00:19:02.509541,Eva,North,Doohickey,20,336.93
2025-08-11 00:19:02.509541,Charlie,East,Doohickey,30,430.82
2025-08-12 00:19:02.509541,Charlie,North,Widget,11,461.18
2025-08-12 00:19:02.509541,Eva,South,Thingama,10,210.14
2025-08-13 00:19:02.509541,Bob,West,Doohickey,11,257.7
2025-08-13 00:19:02.509541,Charlie,South,Gadget,34,167.37
2025-08-14 00:19:02.509541,Bob,West,Widget,41,465.03
2025-08-14 00:19:02.509541,Eva,North,Thingama,49,385.03
2025-08-16 00:19:02.509541,Bob,North,Thingama,49,71.72
2025-08-16 00:19:02.509541,Alice,North,Thingama,4,24.04
2025-08-16 00:19:02.509541,Charlie,East,Widget,4,434.13
2025-08-16 00:19:02.509541,Bob,West,Doohickey,36,340.18
2025-08-16 00:19:02.509541,Alice,West,Doohickey,33,488.87
2025-08-17 00:19:02.509541,Eva,North,Thingama,44,313.57
2025-08-17 00:19:02.509541,Bob,South,Doohickey,25,306.94
2025-08-17 00:19:02.509541,Eva,North,Gadget,13,292.58
2025-08-17 00:19:02.509541,Bob,East,Gadget,43,338.84
2025-08-18 00:19:02.509541,Bob,North,Thingama,15,445.67
2025-08-18 00:19:02.509541,Alice,South,Thingama,36,302.61
2025-08-18 00:19:02.509541,Alice,East,Doohickey,9,105.54
2025-08-18 00:19:02.509541,Eva,East,Widget,38,444.18
2025-08-18 00:19:02.509541,Charlie,West,Gadget,38,154.95
2025-08-18 00:19:02.509541,Charlie,South,Gadget,36,384.53
2025-08-18 00:19:02.509541,Alice,North,Thingama,49,86.67
2025-08-19 00:19:02.509541,Charlie,South,Gadget,11,150.39
2025-08-19 00:19:02.509541,Charlie,South,Widget,27,64.68
2025-08-20 00:19:02.509541,Charlie,South,Widget,48,230.03
2025-08-21 00:19:02.509541,David,West,Thingama,18,334.23
2025-08-21 00:19:02.509541,Charlie,South,Thingama,32,295.76
2025-08-21 00:19:02.509541,Alice,South,Doohickey,8,123.69
2025-08-22 00:19:02.509541,Bob,East,Widget,5,373.4
2025-08-22 00:19:02.509541,Eva,West,Thingama,39,301.48
2025-08-23 00:19:02.509541,Alice,North,Widget,33,255.14
2025-08-23 00:19:02.509541,Charlie,West,Gadget,16,169.35
2025-08-23 00:19:02.509541,David,West,Doohickey,16,351.94
2025-08-23 00:19:02.509541,David,North,Gadget,30,476.21
2025-08-24 00:19:02.509541,Bob,North,Widget,23,409.19
2025-08-24 00:19:02.509541,Alice,North,Gadget,1,219.47
2025-08-25 00:19:02.509541,Bob,East,Gadget,9,163.26
2025-08-25 00:19:02.509541,Alice,South,Doohickey,38,273.63
2025-08-26 00:19:02.509541,Bob,South,Gadget,26,116.66
2025-08-26 00:19:02.509541,Alice,South,Thingama,25,382.48
2025-08-27 00:19:02.509541,Charlie,North,Thingama,42,246.24
2025-08-27 00:19:02.509541,Charlie,East,Doohickey,8,218.8
2025-08-27 00:19:02.509541,Alice,West,Widget,29,448.83
2025-08-27 00:19:02.509541,Charlie,East,Thingama,10,209.33
2025-08-27 00:19:02.509541,Charlie,East,Thingama,21,83.73
2025-08-27 00:19:02.509541,Bob,East,Gadget,27,448.72
2025-08-28 00:19:02.509541,Charlie,West,Thingama,37,349.26
2025-08-29 00:19:02.509541,David,North,Thingama,21,334.36
2025-08-29 00:19:02.509541,David,West,Thingama,5,291.4
2025-08-30 00:19:02.509541,Alice,North,Widget,7,340.26
2025-08-31 00:19:02.509541,Charlie,North,Thingama,23,15.3
2025-08-31 00:19:02.509541,David,South,Gadget,2,34.81
2025-08-31 00:19:02.509541,Eva,West,Thingama,48,413.4
2025-08-31 00:19:02.509541,Bob,South,Doohickey,29,218.18
2025-08-31 00:19:02.509541,Eva,West,Widget,4,287.64
2025-08-31 00:19:02.509541,Eva,South,Thingama,3,106.25
2025-09-01 00:19:02.509541,Eva,West,Thingama,22,420.73
2025-09-01 00:19:02.509541,Charlie,South,Doohickey,25,449.71
2025-09-01 00:19:02.509541,David,North,Gadget,19,339.47
2025-09-02 00:19:02.509541,Alice,East,Doohickey,16,51.44
2025-09-02 00:19:02.509541,Charlie,West,Doohickey,37,497.86
2025-09-02 00:19:02.509541,David,West,Doohickey,12,191.09
2025-09-02 00:19:02.509541,David,East,Thingama,35,129.26
2025-09-03 00:19:02.509541,Charlie,East,Gadget,13,480.33
2025-09-03 00:19:02.509541,Bob,East,Thingama,18,187.09
2025-09-03 00:19:02.509541,Eva,South,Doohickey,14,168.28
2025-09-04 00:19:02.509541,Charlie,South,Doohickey,33,454.84
2025-09-04 00:19:02.509541,Charlie,East,Thingama,48,361.03
2025-09-05 00:19:02.509541,Charlie,East,Widget,45,186.61
2025-09-05 00:19:02.509541,Bob,North,Gadget,27,398.45
2025-09-05 00:19:02.509541,Eva,South,Doohickey,47,219.52
2025-09-05 00:19:02.509541,Eva,East,Doohickey,22,345.72
2025-09-06 00:19:02.509541,Alice,West,Widget,37,251.48
2025-09-07 00:19:02.509541,Eva,South,Doohickey,35,484.36
2025-09-07 00:19:02.509541,Eva,West,Doohickey,6,334.24
2025-09-07 00:19:02.509541,Bob,West,Doohickey,5,436.64
2025-09-07 00:19:02.509541,Alice,East,Widget,36,118.02
2025-09-07 00:19:02.509541,Bob,North,Widget,33,153.74
2025-09-08 00:19:02.509541,Alice,East,Gadget,47,286.32
2025-09-08 00:19:02.509541,Charlie,South,Gadget,12,222.4
2025-09-08 00:19:02.509541,Alice,West,Widget,38,372.04
2025-09-09 00:19:02.509541,Bob,West,Widget,46,268.56
2025-09-09 00:19:02.509541,Eva,West,Widget,22,151.7
2025-09-09 00:19:02.509541,Bob,North,Doohickey,34,436.56
2025-09-10 00:19:02.509541,Eva,West,Gadget,9,406.12
2025-09-10 00:19:02.509541,David,North,Doohickey,39,100.47
2025-09-10 00:19:02.509541,Charlie,West,Widget,45,311.99
2025-09-11 00:19:02.509541,David,East,Doohickey,23,278.73
2025-09-11 00:19:02.509541,Charlie,West,Doohickey,19,16.7
2025-09-12 00:19:02.509541,Alice,South,Thingama,5,89.88
2025-09-13 00:19:02.509541,Eva,South,Doohickey,27,168.53
2025-09-13 00:19:02.509541,David,East,Thingama,34,213.73
2025-09-14 00:19:02.509541,Charlie,West,Thingama,9,376.61
2025-09-14 00:19:02.509541,Eva,North,Widget,19,10.54
2025-09-15 00:19:02.509541,Eva,West,Doohickey,42,335.13
2025-09-15 00:19:02.509541,Eva,East,Doohickey,34,450.21
2025-09-16 00:19:02.509541,Eva,West,Doohickey,3,320.52
2025-09-16 00:19:02.509541,Eva,West,Thingama,9,82.17
2025-09-17 00:19:02.509541,Charlie,South,Gadget,48,293.04
2025-09-17 00:19:02.509541,Alice,South,Widget,5,486.81
2025-09-17 00:19:02.509541,Bob,South,Doohickey,8,47.09
2025-09-18 00:19:02.509541,Bob,East,Gadget,25,117.17
2025-09-18 00:19:02.509541,Alice,South,Widget,11,176.59
2025-09-18 00:19:02.509541,David,South,Gadget,18,423.99
2025-09-18 00:19:02.509541,David,East,Gadget,11,146.54
2025-09-18 00:19:02.509541,Bob,North,Thingama,16,243.9
2025-09-18 00:19:02.509541,Eva,South,Gadget,22,468.39
2025-09-18 00:19:02.509541,David,West,Thingama,26,234.63
2025-09-19 00:19:02.509541,Bob,East,Doohickey,25,26.0
2025-09-19 00:19:02.509541,Bob,West,Doohickey,33,163.8
2025-09-19 00:19:02.509541,David,East,Widget,27,68.75
2025-09-19 00:19:02.509541,Eva,West,Doohickey,36,17.94
2025-09-19 00:19:02.509541,Bob,East,Widget,35,270.33
2025-09-20 00:19:02.509541,David,East,Widget,47,378.08
2025-09-20 00:19:02.509541,Alice,East,Gadget,34,135.11
2025-09-20 00:19:02.509541,Bob,South,Doohickey,45,133.98
2025-09-21 00:19:02.509541,Eva,South,Doohickey,36,303.66
2025-09-21 00:19:02.509541,Charlie,North,Widget,36,211.48
2025-09-21 00:19:02.509541,Charlie,East,Widget,43,84.5
2025-09-21 00:19:02.509541,Charlie,South,Doohickey,30,35.85
2025-09-21 00:19:02.509541,Charlie,North,Doohickey,37,221.85
2025-09-21 00:19:02.509541,Eva,South,Widget,11,432.48
2025-09-22 00:19:02.509541,Eva,West,Gadget,48,25.26
2025-09-22 00:19:02.509541,Bob,South,Thingama,5,402.48
2025-09-22 00:19:02.509541,Bob,West,Thingama,37,53.31
2025-09-23 00:19:02.509541,Charlie,South,Doohickey,12,469.77
2025-09-24 00:19:02.509541,Bob,South,Thingama,42,40.66
2025-09-24 00:19:02.509541,Eva,East,Widget,10,376.07
2025-09-24 00:19:02.509541,Alice,South,Widget,47,226.85
2025-09-25 00:19:02.509541,Charlie,East,Doohickey,23,24.71
2025-09-25 00:19:02.509541,David,South,Gadget,17,418.94
2025-09-25 00:19:02.509541,Alice,West,Thingama,13,15.54
2025-09-25 00:19:02.509541,Bob,East,Gadget,29,199.79
2025-09-25 00:19:02.509541,Charlie,South,Doohickey,44,445.18
2025-09-26 00:19:02.509541,Alice,West,Doohickey,28,355.68
2025-09-26 00:19:02.509541,Alice,North,Thingama,27,172.67
2025-09-26 00:19:02.509541,Eva,West,Thingama,25,465.28
2025-09-26 00:19:02.509541,Eva,South,Widget,30,238.49
2025-09-26 00:19:02.509541,Alice,North,Gadget,29,263.82
2025-09-26 00:19:02.509541,Alice,East,Gadget,45,394.03
2025-09-27 00:19:02.509541,Alice,North,Doohickey,41,123.93
2025-09-27 00:19:02.509541,Eva,West,Widget,21,316.06
2025-09-28 00:19:02.509541,Bob,North,Doohickey,13,100.78
